"Call_Received_Date","Call_Received_Time","Incident_ID","Call_Method","Nature_Code_Description","Location_Address","Report_Number","Closing_Disposition/Cancel_Code","fileName"
2021-02-13,"11:54PM","210203325","SELF POSSESSION UNDERAGE","","126-201 WELCH AVE","21000656","INFO","PressLog (1).pdf"
2021-02-13,"11:35PM","210203321","PHONE SUSPICIOUS PERSON/VEH/ACTIVITY","","315 GRAND AVE","","UTL","PressLog (1).pdf"
2021-02-13,"11:35PM","","PHONE SUSPICIOUS PERSON/VEH/ACTIVITY","","315 GRAND AVE","","UTL","PressLog (1).pdf"
2021-02-13,"11:29PM","210203320","SELF PUBLIC INTOXICATION","","129 HAYWARD AVE","","NOR","PressLog (1).pdf"
2021-02-13,"11:26PM","210203318","PHONE DISTURBANCE & NOISE PARTY","","5360 MORTENSEN RD","","NAT","PressLog (1).pdf"
2021-02-13,"10:39PM","210203312","PHONE MOTOR VEH CRASH/PROP DAMAGE","","100-BLK 5TH ST","","NAT","PressLog (1).pdf"
2021-02-13,"10:36PM","210203311","PHONE MOTOR VEH CRASH/PROP DAMAGE","","3800-BLK LINCOLN WAY","21000655","RPT","PressLog (1).pdf"
2021-02-13,"09:07PM","210203292","PHONE CIVIL MATTER","","1404 CRESCENT ST","","ASC","PressLog (1).pdf"
2021-02-13,"08:26PM","210203284","PHONE HARASSMENT","","4112-205 LINCOLN SWING","21000654","RPT","PressLog (1).pdf"
2021-02-13,"08:16PM","210203280","PHONE HARASSMENT","","515 CLARK AVE","","NOR","PressLog (1).pdf"
2021-02-13,"08:08PM","210203276","PHONE MEDICAL ASSIST/AMBULANCE CALL","","1226 TRUMAN PL","","NRSP","PressLog (1).pdf"
2021-02-13,"07:57PM","210203274","PHONE CIVIL MATTER","","3218 ORION DR","","NOR","PressLog (1).pdf"
2021-02-13,"07:45PM","210203271","W911 VANDALISM / CRIMINAL MISCHIEF","","3800 LINCOLN WAY","","NOR","PressLog (1).pdf"
2021-02-13,"07:41PM","210203270","PHONE MOTOR VEH CRASH/PROP DAMAGE","","309 S DUFF AVE","21000652","RPT","PressLog (1).pdf"
2021-02-13,"07:35PM","210203269","SELF OUTREACH","","2420-103 LINCOLN WAY","","ASC","PressLog (1).pdf"
2021-02-13,"07:33PM","210203267","PHONE CIVIL MATTER","","3500 GRAND AVE","21000653","RPT","PressLog (1).pdf"
2021-02-13,"07:09PM","210203258","PHONE 911 HANG UP / INCOMPLETE CALL","","3500-30 GRAND AVE","","ASC","PressLog (1).pdf"
2021-02-13,"05:21PM","210203246","SELF TRAFFIC STOP / ENFORCEMENT","","ASH AVE/LINCOLN WAY","","CIT","PressLog (1).pdf"
2021-02-13,"04:51PM","210203243","E911 MEDICAL ASSIST/AMBULANCE CALL","","2200-808 HAMILTON DR","","NRSP","PressLog (1).pdf"
2021-02-13,"04:45PM","210203240","PHONE HARASSMENT","","5603 WESTFIELD DR","","NOR","PressLog (1).pdf"
2021-02-13,"04:28PM","210203237","PHONE PRIVATE TOW","","121 BEACH AVE","","PTOW","PressLog (1).pdf"
2021-02-13,"03:22PM","210203228","PHONE THEFT / FRAUD / FORGERY","","4335-4 MARICOPA DR","21000651","RPT","PressLog (1).pdf"
2021-02-13,"03:13PM","210203226","PHONE MOTOR VEH CRASH/PROP DAMAGE","","100-BLK S DUFF AVE","21000650","RPT","PressLog (1).pdf"
2021-02-13,"03:00PM","210203223","W911 MEDICAL ASSIST/AMBULANCE CALL","","428 LINCOLN WAY","","NRSP","PressLog (1).pdf"
2021-02-13,"02:59PM","210203221","PHONE MOTOR VEH CRASH/PROP DAMAGE","","12TH ST/GRAND AVE","21000649","RPT","PressLog (1).pdf"
2021-02-13,"02:39PM","210203218","PHONE MOTORIST ASSISTANCE","","147 MM US HIGHWAY 30 E","","NOR","PressLog (1).pdf"
2021-02-13,"02:13PM","210203214","PHONE MOTORIST ASSISTANCE","","1100-BLK S DUFF AVE","","NOR","PressLog (1).pdf"
2021-02-13,"02:13PM","","PHONE MOTORIST ASSISTANCE","","1100-BLK S DUFF AVE","","NOR","PressLog (1).pdf"
2021-02-13,"01:50PM","210203209","PHONE SUSPICIOUS PERSON/VEH/ACTIVITY","","4112 HARRIS ST","","UTL","PressLog (1).pdf"
2021-02-13,"01:28PM","210203204","PHONE MEDICAL ASSIST/AMBULANCE CALL","","1711 CLARK AVE","","GIE","PressLog (1).pdf"
2021-02-13,"01:06PM","210203199","PHONE MOTOR VEH CRASH/PROP DAMAGE","","521 BROWN CT","21000648","RPT","PressLog (1).pdf"
2021-02-13,"12:34PM","210203193","PHONE PARKING ENFORCEMENT/COMPLAINT","","3121 DIAMOND ST","","NOR","PressLog (1).pdf"
2021-02-13,"11:46AM","210203186","PHONE MEDICAL ASSIST/AMBULANCE CALL","","2210-111 HAMILTON DR","","NRSP","PressLog (1).pdf"
2021-02-13,"11:30AM","210203182","PHONE MEDICAL ASSIST/AMBULANCE CALL","","3210 LETTIE ST","","NRSP","PressLog (1).pdf"
2021-02-13,"10:44AM","210203176","PHONE SUSPICIOUS PERSON/VEH/ACTIVITY","","4106 BRICKMAN AVE","","ASC","PressLog (1).pdf"
2021-02-13,"10:29AM","210203169","PHONE MOTORIST ASSISTANCE","","S 16TH ST/GOLDEN ASPEN DR","","NOR","PressLog (1).pdf"
2021-02-13,"10:27AM","210203168","PHONE MOTOR VEH CRASH/PROP DAMAGE","","6TH ST/GRAND AVE","21000647","RPT","PressLog (1).pdf"
2021-02-13,"07:17AM","210203149","PHONE MEDICAL ASSIST/AMBULANCE CALL","","515 CLARK AVE","","TEST","PressLog (1).pdf"
2021-02-13,"07:05AM","210203147","PHONE SUSPICIOUS PERSON/VEH/ACTIVITY","","229 S DUFF AVE","","NOR","PressLog (1).pdf"
2021-02-13,"06:47AM","210203145","PHONE GENERAL ALARM BANK / RESIDENTI","","424 MAIN ST","","BIL","PressLog (1).pdf"
2021-02-13,"05:02AM","210203132","PHONE GENERAL ASSAULT","","228 WELCH AVE","","NOR","PressLog (1).pdf"
2021-02-13,"04:31AM","210203127","PHONE MOTOR VEH CRASH/PROP DAMAGE","","S DUFF AVE/CRYSTAL ST","21000646","RPT","PressLog (1).pdf"
2021-02-13,"04:11AM","210203124","PHONE EQUIPMENT/SIGN MALFUNCTION","","3643 STORY ST","","REF","PressLog (1).pdf"
2021-02-13,"02:58AM","210203101","W911 MEDICAL ASSIST/AMBULANCE CALL","","4405-2 CASTLEWOOD PL","","NRSP","PressLog (1).pdf"
2021-02-13,"02:16AM","210203095","PHONE DISORDERLY CONDUCT","","203 WELCH AVE","","CBC","PressLog (1).pdf"
2021-02-13,"01:31AM","210203088","SELF POSSESSION UNDERAGE","","2401 CHAMBERLAIN ST","21000644","RPT","PressLog (1).pdf"
2021-02-13,"01:04AM","210203085","SELF POSSESSION UNDERAGE","","2522 CHAMBERLAIN ST","21000642","RPT","PressLog (1).pdf"
2021-02-13,"12:59AM","210203084","W911 DISORDERLY CONDUCT","","4133 ONTARIO ST","21000643","RPT","PressLog (1).pdf"
2021-02-13,"12:32AM","210203082","PHONE CIVIL MATTER","","4133 ONTARIO ST","","ASC","PressLog (1).pdf"
2021-02-12,"11:56PM","210203078","PHONE DISTURBANCE & NOISE PARTY","","813-207 SANDCASTLE DR","","ASC","PressLog (1).pdf"
2021-02-12,"11:52PM","210203077","PHONE GENERAL ALARM BANK / RESIDENTI","","238 ALEXANDER AVE","","BIL","PressLog (1).pdf"
2021-02-12,"11:44PM","210203075","PHONE 911 HANG UP / INCOMPLETE CALL","","229 BEACH AVE","","UTL","PressLog (1).pdf"
2021-02-12,"11:37PM","210203073","PHONE CIVIL MATTER","","1206 S 4TH ST","","ASC","PressLog (1).pdf"
2021-02-12,"11:27PM","210203071","PHONE SUSPICIOUS PERSON/VEH/ACTIVITY","","1215 DUFF AVE","","INFO","PressLog (1).pdf"
2021-02-12,"11:27PM","","PHONE SUSPICIOUS PERSON/VEH/ACTIVITY","","1215 DUFF AVE","","INFO","PressLog (1).pdf"
2021-02-12,"10:16PM","210203066","PHONE MEDICAL ASSIST/AMBULANCE CALL","","2006-2 GRAND AVE","","NRSP","PressLog (1).pdf"
2021-02-12,"10:04PM","210203059","W911 MEDICAL ASSIST/AMBULANCE CALL","","117-208 S WILMOTH AVE","","NRSP","PressLog (1).pdf"
2021-02-12,"09:19PM","210203023","PHONE DISTURBANCE & NOISE PARTY","","1525-301 S GRAND AVE","","UTL","PressLog (1).pdf"
2021-02-12,"09:14PM","210203019","W911 MOTOR VEH CRASH/PROP DAMAGE","","4112 WESTBROOK DR","21000641","RPT","PressLog (1).pdf"
2021-02-12,"08:44PM","210203004","PHONE THEFT / FRAUD / FORGERY","","4320 MARICOPA DR","21000639","RPT","PressLog (1).pdf"
2021-02-12,"08:42PM","210203003","PHONE MISSING PERSON / RUNAWAY","","804 KELLOGG AVE","21000640","INFO","PressLog (1).pdf"
2021-02-12,"08:42PM","","PHONE MISSING PERSON / RUNAWAY","","804 KELLOGG AVE","21000640","INFO","PressLog (1).pdf"
2021-02-12,"07:51PM","210202998","SELF TRAFFIC STOP / ENFORCEMENT","","2300-BLK CHAMBERLAIN ST","","WAR","PressLog (1).pdf"
2021-02-12,"07:35PM","210202993","PHONE THEFT OF MOTOR VEHICLE","","2901 GRAND AVE","","NOR","PressLog (1).pdf"
2021-02-12,"07:26PM","210202990","PHONE DISORDERLY CONDUCT","","3311 E LINCOLN WAY","","NOR","PressLog (1).pdf"
2021-02-12,"07:18PM","210202985","PHONE SUSPICIOUS PERSON/VEH/ACTIVITY","","421-315 STONEHAVEN DR","","UTL","PressLog (1).pdf"
2021-02-12,"06:53PM","210202984","PHONE THEFT / FRAUD / FORGERY","","327-9 E 7TH ST","","NOR","PressLog (1).pdf"
2021-02-12,"06:25PM","210202979","W911 MOTOR VEH CRASH/PROP DAMAGE","","S DUFF AVE/S 16TH ST","21000638","RPT","PressLog (1).pdf"
2021-02-12,"05:33PM","210202971","E911 MEDICAL ASSIST/AMBULANCE CALL","","1231 MAXWELL AVE","","NRSP","PressLog (1).pdf"
2021-02-12,"05:26PM","210202967","PHONE MOTOR VEH CRASH/PROP DAMAGE","","13TH ST/GRAND AVE","21000636","RPT","PressLog (1).pdf"
2021-02-12,"05:13PM","210202966","PHONE HIT & RUN PROPERTY DAMAGE","","620 LINCOLN WAY","21000635","RPT","PressLog (1).pdf"
2021-02-12,"05:09PM","210202965","PHONE PARKING ENFORCEMENT/COMPLAINT","","3315 AURORA AVE","","NOR","PressLog (1).pdf"
2021-02-12,"04:59PM","210202964","PHONE HIT & RUN PROPERTY DAMAGE","","620 LINCOLN WAY","","GIE","PressLog (1).pdf"
2021-02-12,"04:31PM","210202959","PHONE MOTORIST ASSISTANCE","","LINCOLN WAY/GRAND AVE","","ASC","PressLog (1).pdf"
2021-02-12,"04:28PM","210202957","E911 MEDICAL ASSIST/AMBULANCE CALL","","2322 E 13TH ST","","NRSP","PressLog (1).pdf"
2021-02-12,"04:17PM","210202954","SELF PARKING ENFORCEMENT/COMPLAINT","","3922 MINNETONKA AVE","","ASC","PressLog (1).pdf"
2021-02-12,"04:15PM","210202953","PHONE MOTOR VEH CRASH/PROP DAMAGE","","539-2 LINCOLN WAY","21000634","RPT","PressLog (1).pdf"
2021-02-12,"03:40PM","210202949","PHONE REPOSSESSION","","2101-201 OAKWOOD RD","","REPO","PressLog (1).pdf"
2021-02-12,"02:40PM","210202934","PHONE MEDICAL ASSIST/AMBULANCE CALL","","1111 DUFF AVE","","NRSP","PressLog (1).pdf"
2021-02-12,"02:38PM","210202932","PHONE MOTORIST ASSISTANCE","","UNIVERSITY BLVD/S 16TH ST","","NOR","PressLog (1).pdf"
2021-02-12,"02:33PM","210202927","PHONE MEDICAL ASSIST/AMBULANCE CALL","","3815 STANGE RD","","NRSP","PressLog (1).pdf"
2021-02-12,"02:27PM","210202924","PHONE LAW DEPARTMENT ASSIST","","1402 MEADOWLANE AVE","","CBC","PressLog (1).pdf"
2021-02-12,"02:24PM","210202923","PHONE MOTOR VEH CRASH/PROP DAMAGE","","GRAND AVE/20TH ST","","DUP","PressLog (1).pdf"
2021-02-12,"02:24PM","210202922","PHONE MOTOR VEH CRASH/PROP DAMAGE","","20TH ST/GRAND AVE","21000633","RPT","PressLog (1).pdf"
2021-02-12,"01:32PM","210202917","SELF TRAFFIC STOP / ENFORCEMENT","","4316 ONTARIO ST","21000632","RPT","PressLog (1).pdf"
2021-02-12,"01:25PM","210202914","PHONE MOTOR VEH CRASH/PROP DAMAGE","","WAKEFIELD CIR/S BELL AVE","21000631","RPT","PressLog (1).pdf"
2021-02-12,"12:42PM","210202907","SELF MOTORIST ASSISTANCE","","413 NORTH DAKOTA AVE","","ASC","PressLog (1).pdf"
2021-02-12,"12:31PM","210202904","PHONE PARKING ENFORCEMENT/COMPLAINT","","3407 HARCOURT DR","","ASC","PressLog (1).pdf"
